"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","type"
"Large_Cap: 0%,  Fixed: 100%",0,0.0547001721580534,0.0644785697172385,0.848346549837149,0.794206132706742,0.809538527288621,"12 Months"
"Large_Cap: 1%,  Fixed: 99%",1,0.0553891778469985,0.0641278951667122,0.863729858948343,0.809293382413629,0.824709620080714,"12 Months"
"Large_Cap: 2%,  Fixed: 98%",2,0.0560781835359436,0.0638456450467142,0.878339994762566,0.823662864350474,0.839147254433096,"12 Months"
"Large_Cap: 3%,  Fixed: 97%",3,0.0567671892248887,0.0636327298764978,0.892106771704841,0.837246691566229,0.852782892431706,"12 Months"
"Large_Cap: 4%,  Fixed: 96%",4,0.0574561949138338,0.0634898472106037,0.904966659050926,0.849983117369315,0.865554282152569,"12 Months"
"Large_Cap: 5%,  Fixed: 95%",5,0.0581452006027789,0.063417470410782,0.916864079032917,0.86181778598699,0.877406721757784,"12 Months"
"Large_Cap: 6%,  Fixed: 94%",6,0.058834206291724,0.0634158408835297,0.927752521641709,0.872704814131613,0.888294150474178,"12 Months"
"Large_Cap: 7%,  Fixed: 93%",7,0.0595232119806691,0.0634849640766539,0.937595426671405,0.882607655767915,0.898180018253405,"12 Months"
"Large_Cap: 8%,  Fixed: 92%",8,0.0602122176696143,0.0636246093885774,0.946366794990873,0.891499712992095,0.907037896762185,"12 Months"
"Large_Cap: 9%,  Fixed: 91%",9,0.0609012233585594,0.0638343139938874,0.954051505345402,0.899364669346857,0.914851808020809,"12 Months"
"Large_Cap: 10%,  Fixed: 90%",10,0.0615902290475045,0.0641133904381722,0.960645328948857,0.906196536947601,0.921616262315788,"12 Months"
"Large_Cap: 11%,  Fixed: 89%",11,0.0622792347364496,0.0644609377147971,0.966154650309303,0.911999424148794,0.927336012601074,"12 Months"
"Large_Cap: 12%,  Fixed: 88%",12,0.0629682404253947,0.0648758554151738,0.970595917732856,0.916787044799724,0.932025547115467,"12 Months"
"Large_Cap: 13%,  Fixed: 87%",13,0.0636572461143398,0.0653568604495064,0.973994859552967,0.92058200225759,0.935708354199537,"12 Months"
